Symbol,Target,Criteria,Strategy,TFrame,LatestQtr,StarStock,CumlRnk,Conviction,Category,Cyclical,XIRR,Remarks,MBQ,Reasoning
ASTRAL,,AR,ATH,D,1,0.0,131.0,H,PLASTICS,SC,,,AR,Well-managed high-quality business with strong future growth prospects making it an excellent investment choice in the small-cap space.
ASTRAZEN,8410.0,X40N,ATH,W,1,1.0,94.0,X,PHARMA,NC,,,X40N,Global pharma leader with a focus on innovation and a robust R&D pipeline.
ATULAUTO,844.0,XY24,NTT,D,1,0.0,248.0,M,AUTO,DC,-49.0,,XY24,Small-scale auto manufacturer facing scalability and competitive challenges.
AUBANK,,,,,1,0.0,198.0,M,BANKS,NC,,,,Consistently growing small finance bank with strong asset quality and customer focus.
AUROPHARMA,,,,,1,0.0,196.0,M,PHARMA,NC,,,,Well-known pharmaceutical company with a diverse portfolio but faces pricing pressures.
AVANTIFEED,615.0,XR,ATH,W,1,0.0,241.0,M,MISC,NC,56.0,,XR,Leader in aquaculture feed with strong industry fundamentals but cyclical risks.
AWL,485.0,XY24,NTT,W,1,1.0,81.0,X,FMCG,NC,-36.0,SD: 488,XY24/X40N,Leading edible oil manufacturer with significant market share but subject to commodity risks.
AXISBANK,,X40,ATH,D,1,1.0,36.0,X,BANKS,NC,,,X40/X5K,Improved governance under new leadership competitive private sector bank with robust growth.
BAJAJ-AUTO,,X40,ATH,D,1,1.0,23.0,X,AUTO,DC,,,X40/X5K,Market leader in two-wheelers with strong export presence focused capital allocation.
BAJAJFINSV,2758.0,X40,BTT,D,1,1.0,17.0,X,FINANCE,NC,11.0,,X40/X5K,Exceptional management with diversified financial services portfolio proven execution.
BAJAJHFL,152.0,X40N,ATH,D,1,1.0,60.0,X,FINANCE,NC,,,X40N,
BAJAJHIND,46.0,XR,ATH,W,1,0.0,272.0,L,SUGAR,DC,431.0,,XR,Cyclical sugar business with limited pricing power and weak governance history.
BAJAJHLDNG,,X40,ATH,D,1,1.0,28.0,X,FINANCE,NC,,,X40/X5K,Strong holding company with stakes in high-performing Bajaj group entities.
BAJFINANCE,1069.0,X40,BTT,D,1,1.0,19.0,X,FINANCE,NC,19.0,,X40/X5K,Exemplary management and business model with industry-leading ROE and growth.
BALKRISIND,,XR,ATH,D,1,0.0,132.0,H,TYRES,DC,,,XR,Niche player in off-highway tires with strong global presence and efficient operations.
BANDHANBNK,400.0,XY24,NTT,W,1,0.0,174.0,H,BANKS,NC,-29.0,,XY24,Strong microfinance focus but governance and asset quality concerns remain.
BANKBARODA,283.0,XR,NTT,W,1,1.0,116.0,M,BANKS,NC,11.0,,XR/X5K,Improved operations post-merger but still faces challenges in governance and NPAs.
BANKINDIA,149.0,XR,NTT,W,1,1.0,133.0,H,BANKS,NC,-12.0,SD: till 190,XR/X5K,Public sector bank with persistent challenges in credit discipline and operational efficiency.
BATAINDIA,2096.0,X40,NTT,D,1,1.0,91.0,X,FOOTWEAR,SC,-8.0,SD: till 1686,X40,Trusted footwear brand with strong market presence but faces competition from new entrants.
BAYERCROP,6805.0,OX40N,NTT,D,1,0.0,149.0,H,CHEMICALS,SC,9.0,,OX40N,Global agrochemical leader with strong R&D focus business quality impacted by cyclicality.
BERGEPAINT,680.0,XY24,NTT,D,1,1.0,68.0,X,PAINTS,SC,-14.0,,XY24/X40,Strong brand with consistent growth in decorative paints well-managed and capital-efficient.
BHARTIARTL,,,ATH,D,1,1.0,37.0,H,TELECOM,SC,,,X5K,Leading telecom operator with improved profitability and diversification into digital services.
BIOCON,397.0,XY24,NTT,,1,0.0,199.0,M,PHARMA,NC,67.0,,XY24,Leadership in biosimilars and strong R&D focus but execution risks exist in scaling globally.
BIRLAMONEY,141.0,AR,ATH,W,1,0.0,273.0,L,FINANCE,NC,365.0,,AR,Small player in financial services with limited scale and growth visibility.
BLUESTARCO,2080.0,X40N,NTT,W,1,1.0,77.0,X,AC,SC,,,X40N,Market leader in air conditioning with consistent growth and strong operational performance.
BLUSPRING,,XY24,ATH,D,1,1.0,259.0,L,MISC,NC,,,XY24,
BOROLTD,462.0,XY24,ATH,W,1,0.0,274.0,L,GLASS,DC,142.0,,XY24,Strong legacy brand in glassware but faces stiff competition and lacks scalability.
BOSCHLTD,,X40N,ATH,D,1,1.0,71.0,X,AUTO,DC,,,X40N,Pioneer in auto components with strong focus on innovation and high-quality management.
BPCL,,XR,ATH,D,1,0.0,178.0,L,OIL,DC,,,XR/X5K,Government-owned oil company facing pricing and regulatory challenges despite scale advantages.
BRITANNIA,5201.0,XY25,ATH,D,1,0.0,41.0,H,FMCG,NC,239.0,,XY25/AR,Market leader in biscuits and bakery products with efficient capital allocation and branding.
BSE,,X40N,ATH,D,1,1.0,16.0,X,MISC,NC,,,X40N,
BSOFT,,XR,ATH,D,1,0.0,172.0,H,IT,NC,-28.0,,XR,IT services company with strong growth potential in digital transformation projects.
CAMPUS,393.0,XY24,NTT,W,1,0.0,218.0,M,FOOTWEAR,SC,-16.0,,XY24,Growing player in affordable footwear but lacks a strong competitive moat.
CAMS,950.0,X40N,NTT,W,1,1.0,89.0,X,MISC,NC,261.0,,X40N,Monopoly-like position in mutual fund RTA services well-run with strong cash flow generation.
CANBK,,,,,1,1.0,186.0,L,BANKS,NC,,,X5K,PSU bank showing some improvement but still faces governance and credit quality issues.
CAPLIPOINT,,OX40N,ATH,W,1,1.0,148.0,H,PHARMA,NC,,,OX40N,Niche pharma player with a focus on generics and injectables consistent operational performance.
CASTROLIND,172.0,XR,ATH,W,1,0.0,211.0,M,CHEMICALS,SC,2824.0,,XR,Strong brand in lubricants but faces headwinds from EV adoption and slowing demand.
CDSL,1985.0,X40N,ATH,W,1,1.0,96.0,X,MISC,NC,271.0,,X40N,Dominant player in depository services strong business model with high operating leverage.
CENTRALBK,,XR,ATH,W,1,0.0,255.0,L,BANKS,NC,,,XR,Struggling PSU bank with weak governance and a high proportion of stressed assets.
CERA,9475.0,OX40N,NTT,W,1,1.0,153.0,H,CERAMICS,SC,-57.0,,OX40N,Leading player in sanitaryware with consistent growth strong brand and efficient management.
CHOLAFIN,,AR,ATH,W,1,0.0,44.0,H,FINANCE,NC,,,AR,Well-managed NBFC with a strong presence in vehicle and SME financing.
CIPLA,1795.0,X40N,ATH,D,1,1.0,18.0,X,PHARMA,NC,,,X40N,Trusted pharma company with strong domestic and international presence well-diversified.
CLEAN,2137.0,XR,NTT,W,1,0.0,146.0,H,CHEMICALS,SC,0.0,,XR,Renewable energy player with solid potential but limited execution history.
COALINDIA,,XY25,ATH,D,1,0.0,185.0,L,MINING,DC,,,XY25/X5K,Dominant coal producer but faces ESG concerns and regulatory headwinds.
COFFEEDAY,80.0,XR,NTT,W,1,0.0,266.0,L,HOTELS,DC,,VB: this coffee will cost 300 soon SD: CWH 118,XR,Struggles with governance and financial issues despite a strong brand legacy.
COLPAL,2100.0,XY25,ATH,D,1,1.0,62.0,X,FMCG,NC,-21.0,,XY25/X40,Market leader in oral care with exceptional brand loyalty and efficient capital allocation.
CROMPTON,382.0,AR,ATH,W,1,0.0,219.0,M,ELECTRICAL,SC,58.0,,AR,Well-established player in consumer electricals with consistent performance.
CUB,200.0,AR,ATH,W,1,0.0,249.0,M,BANKS,NC,4.0,,AR,Regionally strong private bank with stable growth and asset quality.
DABUR,735.0,XY24,BTT,D,1,1.0,70.0,X,FMCG,NC,1.0,,XY24/X40,Leader in FMCG with a strong focus on ayurveda-based products and consistent performance.
DCBBANK,168.0,AR,ATH,W,1,0.0,247.0,M,BANKS,NC,,,AR,Niche private bank with strong asset quality but limited scalability.
DEEPAKNTR,,AR,ATH,W,1,0.0,169.0,H,CHEMICALS,SC,,,AR,Leading specialty chemical manufacturer with strong execution and high-growth potential.
DEN,75.0,AR,NTT,W,1,0.0,235.0,M,ENTERTAINMENT,DC,-21.0,,AR,Struggles with profitability and scalability in a highly competitive cable TV business.
DIGITIDE,,XY24,ATH,D,1,1.0,203.0,M,IT,NC,,,XY24,
DIVISLAB,5029.0,AR,ATH,D,1,0.0,47.0,H,PHARMA,NC,,,AR,Global leader in APIs with strong R&D focus and ethical management.
DIXON,,X40N,ATH,W,1,1.0,54.0,X,IT,NC,,,X40N,Leading contract manufacturer in India with robust growth and operational efficiency.
DLF,885.0,AR,NTT,D,1,0.0,38.0,H,REALTY,DC,,,AR,Real estate major with cyclical business and governance challenges in the past.
DMART,,X40N,ATH,W,1,1.0,14.0,X,FMCG,NC,33.0,,X40N,Industry leader in retail with cost-efficient operations and excellent execution.
DREAMFOLKS,,EXP50,ATH,W,1,0.0,275.0,M,MISC,NC,,,EXP50,Emerging leader in lounge access services scalability and execution risks remain.
DRREDDY,,XR,ATH,D,1,1.0,,H,PHARMA,NC,,,XR/X5K,Trusted pharma brand with strong global presence but faces price erosion in key markets.
EASEMYTRIP,26.4,XY24,NTT,W,1,0.0,204.0,M,TRAVEL,DC,-91.0,,XY24,Asset-light online travel agency with scalability potential but limited competitive moat.
EICHERMOT,3855.0,X40N,ATH,D,1,1.0,22.0,X,AUTO,DC,109.0,,X40N,Dominant player in premium motorcycles with strong brand and consistent growth.
EIHOTEL,,AR,ATH,D,1,1.0,155.0,H,HOTELS,DC,,,AR,
EMAMILTD,815.0,XR,ATH,W,1,0.0,209.0,M,FMCG,NC,118.0,,XR,FMCG player with niche ayurvedic products but faces intense competition in personal care.
ENRIN,,AR,ATH,D,1,1.0,118.0,H,ELECTRICAL,SC,,,AR,
EQUITASBNK,,OX40N,ATH,W,1,0.0,251.0,M,BANKS,NC,,,OX40N,Well-managed small finance bank with a focus on financial inclusion but limited scalability.
ERIS,,X40N,ATH,W,1,1.0,93.0,X,PHARMA,NC,,,X40N,Focused on branded formulations with strong market presence in chronic therapies.
EXIDEIND,,XR,ATH,D,1,0.0,238.0,M,AUTO,DC,,,XR,Leading battery manufacturer but facing competition from new-age energy storage solutions.
FEDERALBNK,,,,,1,0.0,202.0,M,BANKS,NC,,,,Regionally strong private bank with improving asset quality and operational efficiency.
FINCABLES,,OX40N,ATH,W,1,0.0,220.0,M,CABLES,SC,,,OX40N,Trusted cable manufacturer with steady growth and strong balance sheet.
FINEORG,7000.0,OX40N,ATH,W,1,0.0,165.0,H,CHEMICALS,SC,-6.0,,OX40N,Leader in niche oleochemical products with strong export presence and consistent growth.
FORTIS,,X40N,ATH,D,1,1.0,73.0,X,HEALTHCARE,NC,,,X40N,
FOSECOIND,,EXP50,ATH,W,1,0.0,276.0,M,CHEMICALS,SC,,,EXP50,Specialty chemical company with strong market position but limited scalability.
GAIL,,,,,1,1.0,179.0,L,GAS,SC,,,X5K,Largest natural gas company in India government ownership limits operational flexibility.
GEOJITFSL,,XR,ATH,D,1,0.0,277.0,L,FINANCE,NC,,,XR,Regional player in financial services with limited competitive advantage.
GICRE,583.0,XY24,BTT,W,1,0.0,122.0,H,INSURANCE,NC,109.0,,XY24/X5K,State-owned reinsurer with pricing challenges and lack of operational agility.
GILLETTE,8980.0,X40,ATH,D,1,1.0,83.0,X,FMCG,NC,64.0,,X40,Premium brand with strong customer loyalty but limited growth in price-sensitive markets.
GLAND,3442.0,XR,NTT,W,1,0.0,163.0,H,PHARMA,NC,17.0,SD: 2612,XR,Focused on injectables with strong global presence but faces execution challenges.
GLAXO,3182.0,X40,ATH,D,1,1.0,56.0,X,PHARMA,NC,,,X40,Strong brand and diversified pharma portfolio but slower growth compared to peers.
GODREJCP,,X40N,ATH,,1,1.0,32.0,X,FMCG,NC,,,X40N,Trusted FMCG player with strong presence in home and personal care but faces tough competition.
GODREJIND,,,,,1,0.0,233.0,M,CHEMICALS,SC,,,,Conglomerate with diversified businesses but lacks strong competitive advantages.
GRASIM,,AR,ATH,,1,0.0,53.0,H,TEXTILES,DC,,,AR/X5K,Well-managed conglomerate with leadership in cement and entry into paints.
GREENPANEL,537.0,XY24,NTT,D,1,0.0,225.0,M,MISC,NC,-17.0,,XY24,Leader in MDF with strong operational efficiency but cyclical demand risks.
GULFOILLUB,896.0,AR,ATH,D,1,0.0,278.0,L,CHEMICALS,SC,187.0,,AR,Niche lubricant manufacturer but faces challenges from EV adoption and market share erosion.
HAL,,X5K,ATH,D,1,0.0,104.0,M,DEFENCE,SC,,,X5K,
HAPPSTMNDS,193.0,AR,ATH,W,1,0.0,152.0,H,IT,NC,-22.0,,AR,Emerging IT services company with a focus on digital transformation and strong growth.
HATHWAY,31.4,XR,NTT,W,1,0.0,171.0,H,ENTERTAINMENT,DC,-18.0,,XR,Cable and broadband player struggling with intense competition and pricing pressures.
HAVELLS,,X40,ATH,D,1,1.0,63.0,X,ELECTRICAL,SC,,,X40,Industry leader in electrical consumer goods with consistent growth and strong brand equity.
HCLTECH,2006.0,X40,ATH,D,1,1.0,8.0,X,IT,NC,99.0,,X40/X5K,Leading IT services company with robust global presence and diversified offerings.
HDFCAMC,3600.0,X40,ATH,D,1,1.0,11.0,X,FINANCE,NC,136.0,,X40,Market leader in asset management with strong distribution network and consistent profitability.
HDFCBANK,1073.0,X40,BTT,D,1,1.0,26.0,X,BANKS,NC,4.0,,X40/X5K,Best-in-class private bank with robust growth excellent governance and strong asset quality.
HDFCLIFE,897.0,X40,ATH,D,1,1.0,31.0,X,INSURANCE,NC,16.0,,X40,Leading life insurer with innovative product offerings and strong distribution capabilities.
HEROMOTOCO,,AR,ATH,D,1,0.0,45.0,H,AUTO,DC,,,AR,Market leader in two-wheelers but faces growth headwinds in the EV transition.
HINDALCO,,X5K,ATH,,1,0.0,48.0,H,METALS,DC,,,X5K,Leading aluminum and copper producer with strong operational performance and global footprint.
HINDPETRO,410.0,XR,ATH,D,1,0.0,256.0,L,REFINERIES,SC,1817.0,,XR/X5K,PSU with limited pricing power due to government regulations and volatile margins.
HINDUNILVR,2922.0,XY25,NTT,D,1,1.0,9.0,X,FMCG,NC,-3.0,,XY25/X5K/X40,FMCG leader with strong brand portfolio consistent growth and ethical management.
HINDZINC,,X5K,ATH,D,1,,102.0,M,METALS,DC,,,X5K,
HONAUT,51640.0,X40N,ATH,D,1,1.0,90.0,X,ELECTRICAL,SC,97.0,,X40N,Trusted automation and safety solution provider with niche market leadership.
HSCL,,XR,ATH,W,1,0.0,265.0,L,CHEMICALS,SC,,,XR,Construction-focused PSU with cyclical business and limited scalability.
HYUNDAI,,X40N,ATH,D,1,1.0,29.0,X,AUTO,DC,,,X40N/X5K,
IBREALEST,,,,,1,0.0,279.0,L,REALTY,DC,,,,Real estate player with cyclical business and governance concerns in the past.
ICICIBANK,,X40,ATH,D,1,1.0,10.0,X,BANKS,NC,,,X40/X5K,Best-in-class private bank with consistent growth strong digital focus and asset quality.
ICICIGI,1893.0,X40,ATH,D,1,1.0,66.0,X,INSURANCE,NC,52.0,,X40,Leading general insurer with strong distribution but faces pricing pressures in the industry.
ICICIPRULI,835.0,X40,ATH,D,1,1.0,78.0,X,INSURANCE,NC,103.0,,X40,Life insurer with innovative products and consistent market share growth.
IDBI,,X5K,ATH,D,1,0.0,101.0,M,BANKS,NC,,,X5K,
IEX,219.0,XR,NTT,W,1,0.0,137.0,H,MISC,NC,20.0,,XR,Monopoly in power exchange but regulatory risks exist.
IGL,707.0,AR,ATH,W,1,0.0,208.0,M,GAS,SC,,,AR,Dominant player in city gas distribution with steady growth and high entry barriers.
INDHOTEL,,X40N,ATH,,1,1.0,59.0,X,HOTELS,DC,,,X40N,Strong player in the hospitality sector with a focus on premium and luxury segments offering consistent growth potential in India's growing tourism industry.
INDIAMART,,AR,ATH,D,1,0.0,140.0,H,MISC,NC,,,AR,
INDIANB,,,,,1,1.0,187.0,L,BANKS,NC,,,X5K,PSU bank with improving asset quality but still faces operational challenges.
INDIGO,3123.0,AR,ATH,D,1,0.0,99.0,M,AIRLINES,DC,,,AR/X5K,Market leader in aviation with cost-efficient operations but cyclical industry dynamics.
INDIGOPNTS,1408.0,OX40N,NTT,W,1,0.0,222.0,M,PAINTS,SC,-1.0,,OX40N,Rapidly growing paints company leveraging strong demand in tier-2 and tier-3 markets.
INDUSINDBK,1800.0,XR,NTT,W,1,0.0,258.0,L,BANKS,NC,-21.0,,XR/X5K,Private bank with improving asset quality and growing retail focus.
INDUSTOWER,,,,,1,1.0,181.0,L,TELECOM,SC,,,X5K,Telecom tower company with challenges from industry consolidation.
INFY,1972.0,X40,NTT,D,1,1.0,3.0,X,IT,NC,33.0,,X40/X5K,IT services leader with strong global presence robust management and consistent growth.
IOC,,,,,1,0.0,183.0,L,OIL,DC,,,X5K,PSU with pricing power constraints and volatile earnings due to crude price fluctuations.
IRB,,X5K,ATH,D,1,0.0,237.0,M,INFRA,DC,,,X5K,
IRCTC,1269.0,XY24,BTT,W,1,0.0,119.0,H,TRAVEL,DC,12.0,,XY24,Monopoly in online rail ticketing but limited diversification in revenue streams.
IRFC,,X5K,ATH,D,1,0.0,107.0,M,FINANCE,NC,,,X5K,
ITBEES,40.0,AR,ATH,W,1,0.0,281.0,H,IT,NC,,,AR,Diversified ETF tracking the IT index reflects the strong fundamentals of top IT companies.
ITC,452.0,X40,NTT,D,1,1.0,1.0,X,FMCG,NC,,,X40/X5K,Diversified conglomerate with strong FMCG growth and improving capital allocation.
ITCHOTELS,,X40N,ATH,D,1,1.0,65.0,X,HOTELS,DC,,,X40N,
J&KBANK,114.0,XR,ATH,W,1,0.0,264.0,L,BANKS,NC,680.0,,XR,Regional PSU bank with high geographical concentration and governance issues.
BOSCH-HCIL,2282.0,OX40N,BTT,W,1,0.0,231.0,M,AC,SC,-57.0,,OX40N,Niche player in air conditioning with a strong brand but limited market share.
JINDALSTEL,,,,,1,0.0,117.0,M,STEEL,DC,,,,Leading steel producer but exposed to cyclical demand and debt concerns.
JIOFIN,387.0,XY24,BTT,W,1,1.0,34.0,X,FINANCE,NC,26.0,,XY24/X40N,New financial services arm of Reliance with strong parent backing and scalability potential.
JMFINANCIL,,XR,ATH,W,1,0.0,224.0,M,FINANCE,NC,90.0,,XR,Diversified financial services player with limited competitive advantages.
JPPOWER,26.2,XY24,NTT,W,1,0.0,267.0,L,POWER,SC,48.0,,XY24,Struggling power producer with high debt and operational inefficiencies.
JSWHL,7487.0,XY24,BTT,D,1,0.0,176.0,H,FINANCE,NC,,,XY24,Niche holding company with limited direct business opportunities.
JSWINFRA,342.0,X40N,NTT,D,1,1.0,61.0,X,REALTY,DC,,,X40N,
JSWSTEEL,,AR,ATH,D,1,0.0,49.0,H,STEEL,DC,802.0,,AR,Leading steel manufacturer with strong domestic and global presence but cyclical earnings.
JUBLFOOD,850.0,AR,NTT,W,1,0.0,188.0,M,RESTAURANTS,DC,22.0,,AR,Dominant QSR player with strong brand and aggressive expansion but rising input costs.
JYOTHYLAB,,XR,ATH,D,1,0.0,214.0,M,FMCG,NC,,,XR,Niche FMCG player with a strong regional presence but limited scale compared to peers.
KAJARIACER,,X40N,ATH,D,1,1.0,95.0,X,CERAMICS,SC,,,X40N,Market leader in the Indian tiles industry with strong brand equity a diverse product range and significant growth potential driven by urbanization and infrastructure development.
KANSAINER,340.0,XY24,NTT,D,1,0.0,162.0,H,PAINTS,SC,-30.0,,XY24/OX40N,Leader in decorative paints with strong growth potential and market leadership.
KOTAKBANK,2270.0,X40,ATH,D,1,1.0,12.0,X,BANKS,NC,4.0,,X40/X5K,Premier private bank with ethical management strong growth and robust asset quality.
KPIGREEN,,MH,ATH,D,1,1.0,144.0,H,POWER,SC,,,MH,
LALPATHLAB,3545.0,X40N,NTT,W,1,1.0,84.0,X,HEALTHCARE,NC,12.0,,X40N,Diagnostic leader with strong brand recall and expansion potential in organized healthcare.
LAOPALA,464.0,AR,NTT,D,1,0.0,154.0,H,CERAMICS,SC,-50.0,,AR,Niche glassware manufacturer with steady growth and limited competition.
LICHSGFIN,692.0,AR,ATH,W,1,1.0,262.0,L,FINANCE,NC,,,AR/X5K,PSU-backed housing finance company with sluggish growth and high competition.
LICI,983.0,XY25,NTT,W,1,0.0,39.0,H,INSURANCE,NC,202.0,,XY25/X5K,India's largest insurer with strong market share but governance challenges as a PSU.
LT,,XY25,ATH,W,1,1.0,27.0,X,ENGINEERING,DC,,,XY25/X40/X200/X5K,Engineering and infrastructure leader with excellent execution and strong global footprint.
LTM,7000.0,X200,ATH,W,1,0.0,42.0,H,IT,NC,7.0,,X200,Leading IT services firm with strong growth and focus on digital transformation.
LUPIN,,,,,1,0.0,189.0,M,PHARMA,NC,,,,Strong pharma player but faces margin pressure and regulatory challenges.
LUXIND,2442.0,OX40N,NTT,W,1,0.0,206.0,M,TEXTILES,DC,6.0,VB: cup with handle 2966,OX40N,Leading innerwear brand with strong distribution and brand recall but competitive industry.
M&M,,X40N,ATH,,1,1.0,25.0,X,AUTO,DC,,,X5K/X40N,Diversified automotive and tractor leader with consistent innovation and strong execution.
MAHABANK,,X5K,ATH,D,1,1.0,192.0,M,BANKS,NC,,,X5K,
MANAPPURAM,,XR,ATH,D,1,0.0,253.0,M,FINANCE,NC,,,XR,Gold loan-focused NBFC with good growth but regulatory and market risks.
MARICO,725.0,X40,ATH,D,1,1.0,69.0,X,FMCG,NC,42.0,,X40,FMCG leader with strong brands consistent growth and excellent management.
MARUTI,,XR,ATH,D,1,1.0,33.0,X,AUTO,DC,,,XR/X40/X5K,Dominant passenger car manufacturer with strong market share and cost-efficient operations.
MASFIN,350.0,XR,ATH,D,1,0.0,167.0,H,FINANCE,NC,-74.0,,XR,Well-managed NBFC with a focus on MSME lending but scalability concerns.
MAXHEALTH,,AR,,W,1,0.0,124.0,H,HEALTHCARE,NC,,,AR,Leading hospital chain with strong brand but faces competitive intensity in organized healthcare.
MCX,,X40N,ATH,W,1,1.0,67.0,X,MISC,NC,,,X40N,Monopoly in commodity exchanges but regulatory and technological risks exist.
MEDANTA,1486.0,XY24,NTT,D,1,1.0,87.0,X,HEALTHCARE,NC,8.0,,X40N/XY24,Leading multispecialty hospital with strong expansion potential but capital-intensive model.
METROBRAND,,AR,ATH,D,1,0.0,157.0,H,FOOTWEAR,SC,,,AR,Strong retail player in India's footwear market with a solid brand presence diversified product portfolio and strong growth potential driven by increasing consumer demand.
METROPOLIS,3102.0,XR,NTT,W,1,0.0,164.0,H,HEALTHCARE,NC,19.0,,XR,Trusted diagnostics brand with steady growth but rising competition from organized players.
MGL,,AR,ATH,D,1,0.0,143.0,H,GAS,SC,,,AR,Benefits from strong management a solid business model in the gas distribution sector and promising growth prospects making it an excellent choice for long-term investment.
MOTILALOFS,1000.0,OX40N,NTT,W,1,1.0,134.0,H,FINANCE,NC,,,OX40N,Strong financial services firm with a focus on wealth management and asset management.
MRF,,X40N,ATH,W,1,1.0,76.0,X,TYRES,DC,,,X40N,Premium tire manufacturer with strong brand equity but faces margin pressure due to costs.
MUTHOOTFIN,,XR,ATH,D,1,0.0,109.0,M,FINANCE,NC,,,XR,Leading gold loan NBFC with consistent growth and risk mitigation but faces competition.
NAM-INDIA,,X40,ATH,D,1,1.0,72.0,X,FINANCE,NC,,,X40,Established asset management company with consistent AUM growth and digital focus.
NATCOPHARM,,AR,ATH,D,1,1.0,150.0,H,PHARMA,NC,,,AR,
NATIONALUM,,X5K,ATH,,1,0.0,126.0,H,METALS,DC,,,X5K,PSU aluminum producer with cyclical earnings and low pricing power.
NAUKRI,,,ATH,,1,0.0,123.0,H,IT,NC,,,,Market leader in online recruitment with strong cash flows and new growth verticals.
NEOGEN,2434.0,AR,ATH,W,1,0.0,282.0,M,CHEMICALS,SC,36.0,SR:2434,AR,Specialty chemicals company with niche focus but relatively small scale.
NESTLEIND,1377.0,XY25,NTT,D,1,1.0,20.0,X,FMCG,NC,,,XY25/X40,FMCG giant with strong brand portfolio consistent growth and ethical management.
NETWORK18,,,,,1,0.0,261.0,L,MEDIA,SC,,,,Media company with fluctuating revenues and limited pricing power in the industry.
NHPC,115.0,XY24,NTT,D,1,0.0,194.0,M,POWER,SC,-54.0,,XY24,PSU hydropower company with stable earnings but limited growth potential.
