Symbol,Target,Criteria,Strategy,TFrame,LatestQtr,StarStock,CumlRnk,Conviction,Category,InFolio,Cyclical,XIRR,Remarks,MBQ,Reasoning
BAYERCROP,6805,OX40N,NTT,D,0,0,149,H,CHEMICALS,,SC,9,,OX40N,Global agrochemical leader with strong R&D focus business quality impacted by cyclicality.
BERGEPAINT,680,XY24,NTT,D,1,1,68,X,PAINTS,1,SC,-14,,XY24/X40,Strong brand with consistent growth in decorative paints well-managed and capital-efficient.
BHARTIARTL,,,ATH,D,1,1,37,H,TELECOM,,SC,,,X5K,Leading telecom operator with improved profitability and diversification into digital services.
BIOCON,397,XY24,NTT,,0,0,199,M,PHARMA,,NC,67,,XY24,Leadership in biosimilars and strong R&D focus but execution risks exist in scaling globally.
BIRLAMONEY,141,AR,ATH,W,0,0,273,L,FINANCE,,NC,365,,AR,Small player in financial services with limited scale and growth visibility.
BLUESTARCO,2080,X40N,NTT,W,0,0,77,X,AC,,SC,,,X40N,Market leader in air conditioning with consistent growth and strong operational performance.
BLUSPRING,,XY24,ATH,D,1,1,259,L,MISC,,NC,,,XY24,
BOROLTD,462,XY24,ATH,W,0,0,274,L,GLASS,,DC,142,,XY24,Strong legacy brand in glassware but faces stiff competition and lacks scalability.
BOSCHLTD,,X40N,ATH,D,0,0,71,X,AUTO,,DC,,,X40N,Pioneer in auto components with strong focus on innovation and high-quality management.
BPCL,,XR,ATH,D,1,0,178,L,OIL,,DC,,,XR/X5K,Government-owned oil company facing pricing and regulatory challenges despite scale advantages.
BRITANNIA,5201,XY25,ATH,D,0,0,41,H,FMCG,,NC,239,,XY25/AR,Market leader in biscuits and bakery products with efficient capital allocation and branding.
BSE,,X40N,ATH,D,0,0,16,X,MISC,,NC,,,X40N,
BSOFT,,XR,ATH,D,0,0,172,H,IT,1,NC,-28,,XR,IT services company with strong growth potential in digital transformation projects.
CAMPUS,393,XY24,NTT,W,0,0,218,M,FOOTWEAR,1,SC,-16,,XY24,Growing player in affordable footwear but lacks a strong competitive moat.
CAMS,950,X40N,NTT,W,0,0,89,X,MISC,1,NC,261,,X40N,Monopoly-like position in mutual fund RTA services well-run with strong cash flow generation.
CANBK,,,,,1,1,186,L,BANKS,,NC,,,X5K,PSU bank showing some improvement but still faces governance and credit quality issues.
CAPLIPOINT,,OX40N,ATH,W,1,1,148,H,PHARMA,,NC,,,OX40N,Niche pharma player with a focus on generics and injectables consistent operational performance.
CASTROLIND,172,XR,ATH,W,0,0,211,M,CHEMICALS,,SC,2824,,XR,Strong brand in lubricants but faces headwinds from EV adoption and slowing demand.
CDSL,1985,X40N,ATH,W,0,0,96,X,MISC,,NC,271,,X40N,Dominant player in depository services strong business model with high operating leverage.
CENTRALBK,,XR,ATH,W,0,0,255,L,BANKS,,NC,,,XR,Struggling PSU bank with weak governance and a high proportion of stressed assets.
CERA,9475,OX40N,NTT,W,1,1,153,H,CERAMICS,1,SC,-57,,OX40N,Leading player in sanitaryware with consistent growth strong brand and efficient management.
CHOLAFIN,,AR,ATH,W,0,0,44,H,FINANCE,,NC,,,AR,Well-managed NBFC with a strong presence in vehicle and SME financing.
CIPLA,1795,X40N,ATH,D,0,0,18,X,PHARMA,1,NC,,,X40N,Trusted pharma company with strong domestic and international presence well-diversified.
CLEAN,2137,XR,NTT,W,0,0,146,H,CHEMICALS,,SC,0,,XR,Renewable energy player with solid potential but limited execution history.
COALINDIA,,XY25,ATH,D,1,0,185,L,MINING,,DC,,,XY25/X5K,Dominant coal producer but faces ESG concerns and regulatory headwinds.
COFFEEDAY,80,XR,NTT,W,0,0,266,L,HOTELS,1,DC,,VB: this coffee will cost 300 soon SD: CWH 118,XR,Struggles with governance and financial issues despite a strong brand legacy.
COLPAL,2100,XY25,ATH,D,0,0,62,X,FMCG,1,NC,-21,,XY25/X40,Market leader in oral care with exceptional brand loyalty and efficient capital allocation.
CROMPTON,382,AR,ATH,W,0,0,219,M,ELECTRICAL,,SC,58,,AR,Well-established player in consumer electricals with consistent performance.
CUB,200,AR,ATH,W,0,0,249,M,BANKS,,NC,4,,AR,Regionally strong private bank with stable growth and asset quality.
DABUR,735,XY24,BTT,D,1,0,70,X,FMCG,1,NC,1,,XY24/X40,Leader in FMCG with a strong focus on ayurveda-based products and consistent performance.
DCBBANK,168,AR,ATH,W,0,0,247,M,BANKS,,NC,,,AR,Niche private bank with strong asset quality but limited scalability.
DEEPAKNTR,,AR,ATH,W,0,0,169,H,CHEMICALS,,SC,,,AR,Leading specialty chemical manufacturer with strong execution and high-growth potential.
DEN,75,AR,NTT,W,0,0,235,M,ENTERTAINMENT,1,DC,-21,,AR,Struggles with profitability and scalability in a highly competitive cable TV business.
DIGITIDE,,XY24,ATH,D,,1,203,M,IT,,NC,,,XY24,
DIVISLAB,5029,AR,ATH,D,0,0,47,H,PHARMA,,NC,,,AR,Global leader in APIs with strong R&D focus and ethical management.
DIXON,,X40N,ATH,W,0,0,54,X,IT,1,NC,,,X40N,Leading contract manufacturer in India with robust growth and operational efficiency.
DLF,885,AR,NTT,D,0,0,38,H,REALTY,,DC,,,AR,Real estate major with cyclical business and governance challenges in the past.
DMART,,X40N,ATH,W,0,0,14,X,FMCG,1,NC,33,,X40N,Industry leader in retail with cost-efficient operations and excellent execution.
DREAMFOLKS,,EXP50,ATH,W,0,0,275,M,MISC,,NC,,,EXP50,Emerging leader in lounge access services scalability and execution risks remain.
DRREDDY,,XR,ATH,D,1,1,,H,PHARMA,,NC,,,XR/X5K,Trusted pharma brand with strong global presence but faces price erosion in key markets.
EASEMYTRIP,26.4,XY24,NTT,W,0,0,204,M,TRAVEL,1,DC,-91,,XY24,Asset-light online travel agency with scalability potential but limited competitive moat.
EICHERMOT,3855,X40N,ATH,D,1,1,22,X,AUTO,,DC,109,,X40N,Dominant player in premium motorcycles with strong brand and consistent growth.
EIHOTEL,,AR,ATH,D,1,1,155,H,HOTELS,,DC,,,AR,
EMAMILTD,815,XR,ATH,W,0,0,209,M,FMCG,,NC,118,,XR,FMCG player with niche ayurvedic products but faces intense competition in personal care.
ENRIN,,AR,ATH,D,1,1,118,H,ELECTRICAL,,SC,,,AR,
EQUITASBNK,,OX40N,ATH,W,0,0,251,M,BANKS,,NC,,,OX40N,Well-managed small finance bank with a focus on financial inclusion but limited scalability.
ERIS,,X40N,ATH,W,0,0,93,X,PHARMA,,NC,,,X40N,Focused on branded formulations with strong market presence in chronic therapies.
EXIDEIND,,XR,ATH,D,0,0,238,M,AUTO,,DC,,,XR,Leading battery manufacturer but facing competition from new-age energy storage solutions.
FEDERALBNK,,,,,0,0,202,M,BANKS,,NC,,,,Regionally strong private bank with improving asset quality and operational efficiency.
FINCABLES,,OX40N,ATH,W,0,0,220,M,CABLES,1,SC,,,OX40N,Trusted cable manufacturer with steady growth and strong balance sheet.
FINEORG,7000,OX40N,ATH,W,1,0,165,H,CHEMICALS,,SC,-6,,OX40N,Leader in niche oleochemical products with strong export presence and consistent growth.
FORTIS,,X40N,ATH,D,0,0,73,X,HEALTHCARE,,NC,,,X40N,
FOSECOIND,,EXP50,ATH,W,0,0,276,M,CHEMICALS,,SC,,,EXP50,Specialty chemical company with strong market position but limited scalability.
GAIL,,,,,1,1,179,L,GAS,,SC,,,X5K,Largest natural gas company in India government ownership limits operational flexibility.
GEOJITFSL,,XR,ATH,D,0,0,277,L,FINANCE,,NC,,,XR,Regional player in financial services with limited competitive advantage.
GICRE,583,XY24,BTT,W,0,0,122,H,INSURANCE,,NC,109,,XY24/X5K,State-owned reinsurer with pricing challenges and lack of operational agility.
GILLETTE,8980,X40,ATH,D,0,0,83,X,FMCG,1,NC,64,,X40,Premium brand with strong customer loyalty but limited growth in price-sensitive markets.
GLAND,3442,XR,NTT,W,0,0,163,H,PHARMA,,NC,17,SD: 2612,XR,Focused on injectables with strong global presence but faces execution challenges.
GLAXO,3182,X40,ATH,D,1,0,56,X,PHARMA,1,NC,,,X40,Strong brand and diversified pharma portfolio but slower growth compared to peers.
GODREJCP,,X40N,ATH,,1,1,32,X,FMCG,1,NC,,,X40N,Trusted FMCG player with strong presence in home and personal care but faces tough competition.
GODREJIND,,,,,0,0,233,M,CHEMICALS,,SC,,,,Conglomerate with diversified businesses but lacks strong competitive advantages.
GRASIM,,AR,ATH,,0,0,53,H,TEXTILES,,DC,,,AR/X5K,Well-managed conglomerate with leadership in cement and entry into paints.
GREENPANEL,537,XY24,NTT,D,0,0,225,M,MISC,1,NC,-17,,XY24,Leader in MDF with strong operational efficiency but cyclical demand risks.
GULFOILLUB,896,AR,ATH,D,0,0,278,L,CHEMICALS,,SC,187,,AR,Niche lubricant manufacturer but faces challenges from EV adoption and market share erosion.
HAL,,X5K,ATH,D,0,0,104,M,DEFENCE,,SC,,,X5K,
HAPPSTMNDS,193,AR,ATH,W,0,0,152,H,IT,1,NC,-22,,AR,Emerging IT services company with a focus on digital transformation and strong growth.
HATHWAY,31.4,XR,NTT,W,0,0,171,H,ENTERTAINMENT,1,DC,-18,,XR,Cable and broadband player struggling with intense competition and pricing pressures.
HAVELLS,,X40,ATH,D,1,1,63,X,ELECTRICAL,1,SC,,,X40,Industry leader in electrical consumer goods with consistent growth and strong brand equity.
HCLTECH,2006,X40,ATH,D,1,1,8,X,IT,1,NC,99,,X40/X5K,Leading IT services company with robust global presence and diversified offerings.
HDFCAMC,3600,X40,ATH,D,1,1,11,X,FINANCE,,NC,136,,X40,Market leader in asset management with strong distribution network and consistent profitability.
HDFCBANK,1073,X40,BTT,D,1,1,26,X,BANKS,1,NC,4,,X40/X5K,Best-in-class private bank with robust growth excellent governance and strong asset quality.
HDFCLIFE,897,X40,ATH,D,1,0,31,X,INSURANCE,1,NC,16,,X40,Leading life insurer with innovative product offerings and strong distribution capabilities.
HEROMOTOCO,,AR,ATH,D,0,0,45,H,AUTO,,DC,,,AR,Market leader in two-wheelers but faces growth headwinds in the EV transition.
HINDALCO,,X5K,ATH,,0,0,48,H,METALS,,DC,,,X5K,Leading aluminum and copper producer with strong operational performance and global footprint.
HINDPETRO,410,XR,ATH,D,1,0,256,L,REFINERIES,,SC,1817,,XR/X5K,PSU with limited pricing power due to government regulations and volatile margins.
HINDUNILVR,2922,XY25,NTT,D,1,1,9,X,FMCG,1,NC,-3,,XY25/X5K/X40,FMCG leader with strong brand portfolio consistent growth and ethical management.
HINDZINC,,X5K,ATH,D,,,102,M,METALS,,DC,,,X5K,
HONAUT,51640,X40N,ATH,D,0,0,90,X,ELECTRICAL,1,SC,97,,X40N,Trusted automation and safety solution provider with niche market leadership.
HSCL,,XR,ATH,W,0,0,265,L,CHEMICALS,,SC,,,XR,Construction-focused PSU with cyclical business and limited scalability.
HYUNDAI,,X40N,ATH,D,,,29,X,AUTO,1,DC,,,X40N/X5K,
IBREALEST,,,,,0,0,279,L,REALTY,,DC,,,,Real estate player with cyclical business and governance concerns in the past.
ICICIBANK,,X40,ATH,D,1,1,10,X,BANKS,,NC,,,X40/X5K,Best-in-class private bank with consistent growth strong digital focus and asset quality.
ICICIGI,1893,X40,ATH,D,1,1,66,X,INSURANCE,1,NC,52,,X40,Leading general insurer with strong distribution but faces pricing pressures in the industry.
ICICIPRULI,835,X40,ATH,D,1,0,78,X,INSURANCE,1,NC,103,,X40,Life insurer with innovative products and consistent market share growth.
IDBI,,X5K,ATH,D,0,0,101,M,BANKS,,NC,,,X5K,
IEX,219,XR,NTT,W,0,0,137,H,MISC,1,NC,20,,XR,Monopoly in power exchange but regulatory risks exist.
IGL,707,AR,ATH,W,0,0,208,M,GAS,,SC,,,AR,Dominant player in city gas distribution with steady growth and high entry barriers.
INDHOTEL,,X40N,ATH,,0,0,59,X,HOTELS,,DC,,,X40N,Strong player in the hospitality sector with a focus on premium and luxury segments offering consistent growth potential in India's growing tourism industry.
INDIAMART,,AR,ATH,D,0,0,140,H,MISC,1,NC,,,AR,
INDIANB,,,,,1,1,187,L,BANKS,,NC,,,X5K,PSU bank with improving asset quality but still faces operational challenges.
INDIGO,3123,AR,ATH,D,0,0,99,M,AIRLINES,,DC,,,AR/X5K,Market leader in aviation with cost-efficient operations but cyclical industry dynamics.
INDIGOPNTS,1408,OX40N,NTT,W,0,0,222,M,PAINTS,1,SC,-1,,OX40N,Rapidly growing paints company leveraging strong demand in tier-2 and tier-3 markets.
INDUSINDBK,1800,XR,NTT,W,0,0,258,L,BANKS,1,NC,-21,,XR/X5K,Private bank with improving asset quality and growing retail focus.
INDUSTOWER,,,,,1,1,181,L,TELECOM,,SC,,,X5K,Telecom tower company with challenges from industry consolidation.
INFY,1972,X40,NTT,D,1,1,3,X,IT,1,NC,33,,X40/X5K,IT services leader with strong global presence robust management and consistent growth.
IOC,,,,,1,0,183,L,OIL,,DC,,,X5K,PSU with pricing power constraints and volatile earnings due to crude price fluctuations.
IRB,,X5K,ATH,D,0,0,237,M,INFRA,,DC,,,X5K,
IRCTC,1269,XY24,BTT,W,0,0,119,H,TRAVEL,1,DC,12,,XY24,Monopoly in online rail ticketing but limited diversification in revenue streams.
IRFC,,X5K,ATH,D,0,0,107,M,FINANCE,,NC,,,X5K,
ITBEES,40,AR,ATH,W,0,0,281,H,IT,,NC,,,AR,Diversified ETF tracking the IT index reflects the strong fundamentals of top IT companies.
ITC,452,X40,NTT,D,0,0,1,X,FMCG,1,NC,,,X40/X5K,Diversified conglomerate with strong FMCG growth and improving capital allocation.
ITCHOTELS,,X40N,ATH,D,0,0,65,X,HOTELS,,DC,,,X40N,
J&KBANK,114,XR,ATH,W,0,0,264,L,BANKS,,NC,680,,XR,Regional PSU bank with high geographical concentration and governance issues.
BOSCH-HCIL,2282,OX40N,BTT,W,0,0,231,M,AC,1,SC,-57,,OX40N,Niche player in air conditioning with a strong brand but limited market share.
JINDALSTEL,,,,,0,0,117,M,STEEL,,DC,,,,Leading steel producer but exposed to cyclical demand and debt concerns.
JIOFIN,387,XY24,BTT,W,0,0,34,X,FINANCE,1,NC,26,,XY24/X40N,New financial services arm of Reliance with strong parent backing and scalability potential.
JMFINANCIL,,XR,ATH,W,0,0,224,M,FINANCE,,NC,90,,XR,Diversified financial services player with limited competitive advantages.
JPPOWER,26.2,XY24,NTT,W,0,0,267,L,POWER,,SC,48,,XY24,Struggling power producer with high debt and operational inefficiencies.
JSWHL,7487,XY24,BTT,D,0,0,176,H,FINANCE,,NC,,,XY24,Niche holding company with limited direct business opportunities.
JSWINFRA,342,X40N,NTT,D,0,0,61,X,REALTY,,DC,,,X40N,
JSWSTEEL,,AR,ATH,D,0,0,49,H,STEEL,,DC,802,,AR,Leading steel manufacturer with strong domestic and global presence but cyclical earnings.
JUBLFOOD,850,AR,NTT,W,0,0,188,M,RESTAURANTS,,DC,22,,AR,Dominant QSR player with strong brand and aggressive expansion but rising input costs.
JYOTHYLAB,,XR,ATH,D,0,0,214,M,FMCG,,NC,,,XR,Niche FMCG player with a strong regional presence but limited scale compared to peers.
KAJARIACER,,X40N,ATH,D,0,0,95,X,CERAMICS,,SC,,,X40N,Market leader in the Indian tiles industry with strong brand equity a diverse product range and significant growth potential driven by urbanization and infrastructure development.
KANSAINER,340,XY24,NTT,D,1,0,162,H,PAINTS,1,SC,-30,,XY24/OX40N,Leader in decorative paints with strong growth potential and market leadership.
KOTAKBANK,2270,X40,ATH,D,1,1,12,X,BANKS,1,NC,4,,X40/X5K,Premier private bank with ethical management strong growth and robust asset quality.
KPIGREEN,,MH,ATH,D,1,1,144,H,POWER,1,SC,,,MH,
LALPATHLAB,3545,X40N,NTT,W,1,1,84,X,HEALTHCARE,,NC,12,,X40N,Diagnostic leader with strong brand recall and expansion potential in organized healthcare.
LAOPALA,464,AR,NTT,D,0,0,154,H,CERAMICS,1,SC,-50,,AR,Niche glassware manufacturer with steady growth and limited competition.
LICHSGFIN,692,AR,ATH,W,1,1,262,L,FINANCE,,NC,,,AR/X5K,PSU-backed housing finance company with sluggish growth and high competition.
LICI,983,XY25,NTT,W,0,0,39,H,INSURANCE,,NC,202,,XY25/X5K,India's largest insurer with strong market share but governance challenges as a PSU.
LT,,XY25,ATH,W,1,1,27,X,ENGINEERING,,DC,,,XY25/X40/X200/X5K,Engineering and infrastructure leader with excellent execution and strong global footprint.
LTM,7000,X200,ATH,W,0,0,42,H,IT,,NC,7,,X200,Leading IT services firm with strong growth and focus on digital transformation.
LUPIN,,,,,0,0,189,M,PHARMA,,NC,,,,Strong pharma player but faces margin pressure and regulatory challenges.
LUXIND,2442,OX40N,NTT,W,0,0,206,M,TEXTILES,,DC,6,VB: cup with handle 2966,OX40N,Leading innerwear brand with strong distribution and brand recall but competitive industry.
M&M,,X40N,ATH,,1,1,25,X,AUTO,1,DC,,,X5K/X40N,Diversified automotive and tractor leader with consistent innovation and strong execution.
MAHABANK,,X5K,ATH,D,1,1,192,M,BANKS,,NC,,,X5K,
MANAPPURAM,,XR,ATH,D,0,0,253,M,FINANCE,,NC,,,XR,Gold loan-focused NBFC with good growth but regulatory and market risks.
MARICO,725,X40,ATH,D,1,1,69,X,FMCG,,NC,42,,X40,FMCG leader with strong brands consistent growth and excellent management.
MARUTI,,XR,ATH,D,1,1,33,X,AUTO,1,DC,,,XR/X40/X5K,Dominant passenger car manufacturer with strong market share and cost-efficient operations.
MASFIN,350,XR,ATH,D,0,0,167,H,FINANCE,1,NC,-74,,XR,Well-managed NBFC with a focus on MSME lending but scalability concerns.
MAXHEALTH,,AR,,W,0,0,124,H,HEALTHCARE,,NC,,,AR,Leading hospital chain with strong brand but faces competitive intensity in organized healthcare.
MCX,,X40N,ATH,W,1,1,67,X,MISC,,NC,,,X40N,Monopoly in commodity exchanges but regulatory and technological risks exist.
MEDANTA,1486,XY24,NTT,D,0,0,87,X,HEALTHCARE,,NC,8,,X40N/XY24,Leading multispecialty hospital with strong expansion potential but capital-intensive model.
METROBRAND,,AR,ATH,D,0,0,157,H,FOOTWEAR,,SC,,,AR,Strong retail player in India's footwear market with a solid brand presence diversified product portfolio and strong growth potential driven by increasing consumer demand.
METROPOLIS,3102,XR,NTT,W,0,0,164,H,HEALTHCARE,,NC,19,,XR,Trusted diagnostics brand with steady growth but rising competition from organized players.
MGL,,AR,ATH,D,0,0,143,H,GAS,,SC,,,AR,Benefits from strong management a solid business model in the gas distribution sector and promising growth prospects making it an excellent choice for long-term investment.
MOTILALOFS,1000,OX40N,NTT,W,1,1,134,H,FINANCE,,NC,,,OX40N,Strong financial services firm with a focus on wealth management and asset management.
MRF,,X40N,ATH,W,0,0,76,X,TYRES,,DC,,,X40N,Premium tire manufacturer with strong brand equity but faces margin pressure due to costs.
MUTHOOTFIN,,XR,ATH,D,0,0,109,M,FINANCE,,NC,,,XR,Leading gold loan NBFC with consistent growth and risk mitigation but faces competition.
NAM-INDIA,,X40,ATH,D,1,1,72,X,FINANCE,,NC,,,X40,Established asset management company with consistent AUM growth and digital focus.
NATCOPHARM,,AR,ATH,D,1,1,150,H,PHARMA,,NC,,,AR,
NATIONALUM,,X5K,ATH,,0,0,126,H,METALS,,DC,,,X5K,PSU aluminum producer with cyclical earnings and low pricing power.
NAUKRI,,,ATH,,0,0,123,H,IT,,NC,,,,Market leader in online recruitment with strong cash flows and new growth verticals.
NEOGEN,2434,AR,ATH,W,0,0,282,M,CHEMICALS,,SC,36,SR:2434,AR,Specialty chemicals company with niche focus but relatively small scale.
NESTLEIND,1377,XY25,NTT,D,0,0,20,X,FMCG,,NC,,,XY25/X40,FMCG giant with strong brand portfolio consistent growth and ethical management.
NETWORK18,,,,,0,0,261,L,MEDIA,,SC,,,,Media company with fluctuating revenues and limited pricing power in the industry.
NHPC,115,XY24,NTT,D,0,0,194,M,POWER,,SC,-54,,XY24,PSU hydropower company with stable earnings but limited growth potential.
NIACL,278,XR,ATH,W,0,0,221,M,INSURANCE,,NC,442,,XR,General insurance PSU with operational inefficiencies and intense competition.
NMDC,82,XY25,NTT,W,-1,0,195,M,MINING,,DC,507,,XY25/X5K,Largest iron ore producer but cyclical business and PSU governance challenges.
NTPC,,AR,ATH,,-1,0,106,M,POWER,,SC,,,AR/X5K,Leading power producer with stable cash flows but limited growth avenues.
OFSS,,OX40N,ATH,W,1,1,121,H,IT,,NC,,,OX40N,Oracle's financial services arm with strong product suite and global presence.
OIL,,X5K,ATH,D,0,0,197,M,OIL,,DC,,,X5K,
ONGC,,XR,ATH,W,0,0,184,L,OIL,,DC,,,XR/X5K,PSU with exposure to volatile crude prices and limited growth prospects.
PAGEIND,50000,X40,ATH,D,0,0,55,X,APPARELS,1,DC,16,SD: RHS 45146,X40,Premium innerwear brand with strong market leadership and excellent financials.
PARAGMILK,273,AR,ATH,W,0,0,283,L,FMCG,,NC,,,AR,Dairy company with limited differentiation and rising competition in the sector.
PFC,,X5K,ATH,D,0,0,100,M,FINANCE,,NC,,,X5K,
PFIZER,5855,X40,ATH,D,0,0,88,X,PHARMA,,NC,,,X40,Global pharma leader with strong R&D and robust financials in India.
PGHH,18500,X40,ATH,D,0,0,57,X,FMCG,1,NC,,,XY25/X40,Premium FMCG player with consistent margins and strong brand equity.
PIDILITIND,3202,X40,ATH,D,1,1,5,X,CHEMICALS,,SC,10,,X40,Adhesives leader with a strong moat innovative products and consistent performance.
PIIND,,,ATH,,0,0,129,H,CHEMICALS,,SC,,,,Leading agri-chemical player with strong R&D focus and robust export business.
PNB,90,XR,ATH,W,1,1,180,L,BANKS,,NC,238,,XY25/XR/X5K,PSU bank with weak asset quality and governance challenges.
POLYCAB,,OX40N,ATH,W,1,1,43,H,CABLES,,SC,,,OX40N,Market leader in cables and wires with diversification into consumer appliances.
